,Bakery,Garniers,Main,Salads,Soups,Cafes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,latitude,longitude,vegan,Specificity
0,5,0,95,0,0,Singing Tree Bar and Grille,4.442549196552983,4.67306114327436,5.1707360258585116,4.781108130753508,6.2333076373847955,4.241279905108895,3.901988950890179,55.75970365206972,37.642893794339514,0,0
1,0,0,0,29,71,Sweet Glass Cookery,7.84481767272896,4.484802695713457,3.969818261185191,4.729701614474428,5.466900163383387,5.641477022017749,4.147588189450591,55.727624354269736,37.64349688759436,1,2
2,18,0,0,0,82,Elderflower and Chops Inn,7.652420815021749,9.12256822391307,10.189378179630491,9.322801680937918,9.918228969253821,6.908881394244094,7.271824955138316,55.725573888521986,37.600145647305084,1,1
3,58,0,42,0,0,Twisted Arrow Bar and Grill,3.850365227126635,10.190915692726257,3.586666515470225,5.2560768144645165,6.760864312132408,5.960194085478549,1.2897507135863204,55.758699410500775,37.607596158417714,0,0
4,8,0,0,0,92,Jumping Olive Eatery,5.98486223989906,7.65617947101012,5.52664192928562,5.210892312592782,5.520183969405767,4.257403787015734,3.5155529531454266,55.75480337744278,37.609355523319394,0,0
5,0,91,0,0,9,Taste Bar and Grill,7.1033525131863655,5.4523319355170905,5.151574048266387,10.445478342987506,4.1714510859425245,10.009088849629354,5.581476342661474,55.7592977284479,37.659743409484854,0,2
6,14,0,86,0,0,Mad Chops Kitchen,1.577203182338284,2.3796887409669925,2.9018044502175413,3.557827702377636,4.862620289779103,2.6272506971218914,2.109388358592027,55.72547585263799,37.62090505180517,0,0
7,0,74,0,26,0,Splendid on  Roadhouse,16.43069155209049,6.589084453452532,12.77990891370072,8.402535157026241,9.045163481147656,11.105168826661677,13.49780765914614,55.77819916865522,37.693352347291246,2,2
8,0,51,0,49,0,Chef's Lion Kitchen,9.719799633231823,8.797262803733812,1.9088089607466525,4.00717389483524,5.658805661723456,8.225737091033992,7.145496602895302,55.772186536081676,37.599329394655626,2,1
9,84,0,16,0,0,Vista Lounge,7.132835687999389,3.7602641481635515,3.3844928946711343,2.493710662244794,3.504489643125758,6.988875521992883,7.289446477673795,55.722859995014815,37.67695704086036,0,0
10,0,0,0,4,96,Ginger Bite Chophouse,2.4746311119047375,2.9749561254281294,4.615856506357238,2.5322968398820604,1.1347847516255811,5.218366358202636,5.983467742579105,55.75848244245642,37.62701912753819,0,1
11,0,0,0,0,100,Casa de Horse Bottles,4.404084774907442,1.9079610207916304,4.449367702094199,5.463419860531748,3.8245464316380104,6.380153126110345,5.434770667619454,55.74079508989481,37.60536170370301,1,1
12,0,0,0,100,0,Cook's Apple Tavern,9.337723366274554,7.457635322857914,6.5639305247428466,9.776815880661841,4.900679751107626,6.856588249505599,8.891190035848277,55.77098487374092,37.570798835132486,1,2
13,0,61,0,39,0,Inspired Bicycle Lodge,13.15033591003515,4.492963891129946,6.903115306929172,10.991734907205577,9.412389289026292,9.212815385514913,9.609267464382917,55.74285045676983,37.68323789160097,0,0
14,56,0,44,0,0,Hungry Spoon Farmhouse,10.833802515762239,7.292753481103199,8.586044745048342,6.515342343080919,9.235189937164003,12.880506301836064,10.028383976102345,55.7393053991814,37.679324219884755,0,0
15,0,100,0,0,0,Brisk Bee Cucina,7.413082455395857,3.750908725362973,7.7377114079661515,5.5235562448792965,4.351157023647283,4.792949509606573,6.494073605016123,55.78026289769298,37.64927432510045,0,0
16,10,90,0,0,0,Magic Tiger Cuisine,4.124721545952882,2.08386467088895,8.379083230674238,6.176468963577375,9.01846774458918,7.0254923903565345,8.076069313621167,55.74817141128013,37.61136613000166,0,1
